Profiler output for flat cell storage:

10 tests, 27 assertions, 0 failures, 0 errors
Thread ID: 109440
Total: 551.939148

 %self     total     self     wait    child    calls  name
 10.25    551.94    56.56     0.00   495.38    34241  Array#each-1
  1.49      8.20     8.20     0.00     0.00  3718797  Fixnum#/
  1.08      5.99     5.99     0.00     0.00  2755797  Fixnum#%
  0.80      6.54     4.43     0.00     2.11   481500  Grid#zone_for
  0.58      3.17     3.17     0.00     0.00  1428736  Kernel#nil?
  0.53      2.95     2.95     0.00     0.00  1378352  Fixnum#==
  0.52      2.88     2.88     0.00     0.00  1326818  NilClass#nil?
  0.36      2.91     1.99     0.00     0.92   471862  Array#==
  0.05      0.29     0.29     0.00     0.00   128709  Array#<<
  0.04     85.43     0.23     0.00    85.21    33531  Grid#each_cell-1
  0.04     35.23     0.20     0.00    35.03    11220  Grid#unused_values_for_zone
  0.03     86.81     0.18     0.00    86.63    11217  Grid#unused_values_for_cell
  0.03     85.21     0.16     0.00    85.05    33531  Enumerable#each_with_index-1
  0.03     25.65     0.15     0.00    25.50    11219  Grid#unused_values_for_col
  0.03     25.67     0.15     0.00    25.52    11219  Grid#unused_values_for_row
  0.03      0.15     0.15     0.00     0.00    33658  Array#-
  0.02      0.10     0.10     0.00     0.00    22434  Array#&
  0.00      0.02     0.02     0.00     0.00     9691  Array#length
  0.00      0.02     0.01     0.00     0.01     1201  Grid#[]=
  0.00      0.02     0.01     0.00     0.01       22  Kernel#gem_original_require-1
  0.00      0.02     0.01     0.00     0.02       31  Enumerable#sort_by
  0.00      0.01     0.01     0.00     0.00     3133  Fixnum#<=>
  0.00      0.01     0.01     0.00     0.00       90  Array#map-1
  0.00      0.01     0.01     0.00     0.00     2386  Fixnum#+
  0.00     87.82     0.00     0.00    87.81      589  Grid#each_cell
  0.00     65.40     0.00     0.00    65.39       72  Kernel#loop
  0.00      0.01     0.00     0.00     0.00        1  <Module::ObjectSpace>#each_object
  0.00      0.00     0.00     0.00     0.00     1554  Hash#[]
  0.00     87.91     0.00     0.00    87.90       52  Array#each
